title,rating_count,console,genres,average_rating
Arkanoid,131,nes,Action| Block-Breaking,4.549465648854962
Arkanoid - Doh It Again,72,super_nintendo,Action| Strategy| Block-Breaking,4.695972222222222
Arkista'S Ring,29,nes,Action| Puzzle,4.0
Armada,90,sega_dreamcast,Action| Shooter,4.07
Armadillo,66,nes,Action| Adventure,4.3898484848484856
Armored Core,302,ps_one,Action| Simulation| Shooter,4.6048675496688745
Armored Core - Last Raven,165,ps2,Simulation,4.673515151515152
Armored Core - Master Of Arena,355,ps_one,|Action,4.553746478873239
Armored Core - Nexus,121,ps2,Action| Simulation,4.561900826446281
Armored Core - Nine Breaker,49,ps2,Simulation,4.778163265306122
Armored Core - Project Phantasma,43,ps_one,|Action,4.442093023255814
Armored Core - Project Phantasma  Slus-00670,76,ps_one,Action,4.67
Armored Core - Silent Line,140,ps2,Simulation,4.596714285714286
Armored Core 2,175,ps2,Action| Vehicular Combat,4.535085714285715
Armored Core 2 - Another Age,90,ps2,Action| Simulation,4.756111111111111
Armored Core 3,146,ps2,Action| Simulation,4.703082191780822
Armored Core 3 - Silent Line,89,ps2,Simulation,4.58
Armorines - Project S.W.A.R.M.,66,n64,Action| First-Person Shooter,4.193181818181818
Armorines - Project Swarm,20,ps_one,Action| First-Person Shooter,4.2
Army Men - Air Attack,108,ps_one,Action,4.51
Army Men - Air Attack - Blade'S Revenge,33,ps2,Action,4.58
Army Men - Air Attack 2,169,ps_one|ps2,Action,4.548579881656805
Army Men - Air Combat,53,n64,Action| Strategy,4.25
Army Men - Green Rogue,37,ps2,Action| Shooter,4.38
Army Men - Land Sea Air,66,ps_one,Strategy,4.47
Army Men - Major Malfunction,14,ps2,Action| Shooter,4.14
Army Men - Rts,150,ps2,Action| Strategy| Real-Time Strategy,4.398333333333333
Army Men - Sarge'S Heroes,463,n64|ps_one|sega_dreamcast,|Action|Action| Shooter| Action-Adventure,4.291036717062635
Army Men - Sarge'S Heroes 2,262,n64|ps_one|ps2,Action,4.284160305343511
